Nome Ente;Numero Atto;Riferimento;Oggetto;Data Inizio;Data Fine;Data Annullamento;Motivo Annullamento;Richiedente;Unit Organizzativa Responsabile;Responsabile del procedimento amministrativo;Categoria;Informazioni;
AT Varese;0000001;m_pi.AOOUSPVA.REGISTRO UFFICIALE(U).0000096.09-01-2020;Composizione Commissione giudicatrice per la procedura selettiva per l'assunzione a T.I. di imprese titolari di contratti per lo svolgimento di tali servizi (internalizzazione).;2020-01-09;2020-01-24;0000-00-00;;;;;Concorsi e graduatorie;;
AT Varese;0000002;m_pi.AOOUSPVA.REGISTRO UFFICIALE(U).0000226.15-01-2020;Decreto di costituzione della Commissione giudicatrice delle domande relative alla procedura selettiva per l'internalizzazione dei servizi di pulizia.;2020-01-16;2020-01-31;0000-00-00;;;;;Concorsi e graduatorie;;
AT Varese;0000003;m_pi.AOOUSPVA.REGISTRO UFFICIALE(U).0000313.17-01-2020;Pubblicazione tabelle relative alla liquidazione dei contributi per l'inserimento degli alunni diversamente abili alle scuole paritarie a titolo di saldo per l'anno scolastico 2018-2019 e acconto per l'anno scolastico 2019-2020 - Cap 1477 pg 2 ef 2019;2020-01-20;2020-02-04;0000-00-00;;;;;Amministrazione;;
AT Varese;0000004;m_pi_AOOUSPVA.REGISTRO UFFICIALE(U)_0000404_22-01-2020;Determina a contrarre per la fornitura di 7000 lt di gasolio da riscaldamento l'USR per la Lombardia Ufficio XIV di Varese;2020-01-24;2020-02-08;0000-00-00;;;;;Determine dirigenziali;;
AT Varese;0000005;Prot. 396 del 22/01/2020;Determina a contrarre per connessione internet in fibra ottica;2020-01-24;2020-02-08;0000-00-00;;;;;Determine dirigenziali;;
AT Varese;0000006;m_pi.AOOUSPVA.REGISTRO UFFICIALE(U).0000616.30-01-2020;Permessi Diritto allo Studio_anno solare 2020_ Personale docente e ATA a T.D. con supplenza breve o saltuaria.;2020-01-31;2020-02-15;0000-00-00;;;;;Concorsi e graduatorie;;
AT Varese;0000007;656 del 03/02/2020;Bando 2200 del 06/12/2019 Decreto sostituzione membro commissione;2020-02-03;2020-02-18;0000-00-00;;;;;Concorsi e graduatorie;;
AT Varese;0000008;657 del 03/02/2020;Bando 2200 del 06/12/2019 calendario sedute commissione;2020-02-03;2020-02-18;0000-00-00;;;;;Concorsi e graduatorie;;
AT Varese;0000009;777 del 03/03/2020;Pubblicazione rgaduatorie definitive degli esodati della PA;2020-02-05;2020-02-20;0000-00-00;;;;;Concorsi e graduatorie;;
AT Varese;0000010;Rif Prot n^01;prova pubblicazione atto con numero 7c;2020-06-08;2020-06-23;0000-00-00;;;;;Amministrazione;;
AT Varese;0000011;Prot. n.100/2020;Prova con un solo sogg.;2020-06-09;2020-06-24;0000-00-00;;;;;Amministrazione;;
AT Varese;0000012;Atto di cui al prot. n^01122;Prova;2020-06-23;2020-07-08;0000-00-00;;;;;Bandi di gara;;
AT Varese;0000013;Prot. n* xxx_xx_01;Bando reclutamento formatori;2020-06-26;2020-07-11;0000-00-00;;Prof. Scimone Ignazio;Uffcio personale;;Selezioni pubbliche;;
AT Varese;0000014;Prot. n^0 yyyy/yy/0001;Bando di reclutamento operai per ristrutturazione scuola;2020-06-29;2020-07-14;0000-00-00;;Dott. Mario Rossi;Uffcio personale;Aaron Ballabio;Selezioni pubbliche;;
